source;target;label
0;38;45.99
0;23;68.74
0;20;89.34
1;46;69.49
1;77;26.28
1;58;63.62
2;58;29.02
2;18;56.44
2;89;13.72
2;81;50.05
3;20;85.35
4;81;68.02
4;96;87.33
5;95;13.80
6;52;13.69
6;35;41.77
6;15;55.59
6;33;62.53
7;49;4.72
8;74;51.56
8;44;72.19
8;19;7.60
8;93;57.79
9;99;1.61
9;68;11.29
9;39;69.92
10;19;3.45
11;82;39.17
11;91;10.22
11;27;82.07
11;12;51.94
12;82;32.93
12;88;42.98
12;76;80.43
12;89;26.80
12;11;51.94
14;82;62.50
15;39;12.16
15;6;55.59
15;93;25.35
15;70;69.68
16;56;34.06
16;45;22.08
16;79;45.81
18;97;19.09
18;60;52.05
18;2;56.44
19;8;7.60
19;10;3.45
19;59;76.57
20;90;35.47
20;33;54.62
20;76;63.94
20;0;89.34
20;3;85.35
21;81;52.14
23;24;23.03
23;71;20.78
23;0;68.74
23;81;14.67
24;23;23.03
24;46;71.42
25;85;87.34
26;29;16.81
27;34;63.95
27;84;33.85
27;11;82.07
28;30;31.51
29;33;67.12
29;26;16.81
29;59;29.80
30;96;33.28
30;38;32.89
30;28;31.51
31;68;40.48
31;36;82.78
33;29;67.12
33;53;27.48
33;6;62.53
33;20;54.62
34;27;63.95
34;70;40.20
35;6;41.77
35;80;2.58
35;52;59.23
36;37;58.43
36;31;82.78
37;46;78.69
37;36;58.43
37;60;50.63
38;0;45.99
38;30;32.89
39;15;12.16
39;71;31.35
39;64;75.33
39;49;6.96
39;9;69.92
40;80;59.86
40;64;32.45
41;80;61.60
41;76;61.69
42;66;20.37
43;77;63.87
43;44;37.98
43;88;3.91
43;86;48.27
43;78;68.84
43;50;56.30
43;62;59.96
44;8;72.19
44;43;37.98
45;16;22.08
45;87;76.85
46;1;69.49
46;37;78.69
46;24;71.42
46;47;33.57
47;80;20.50
47;56;39.78
47;46;33.57
47;94;2.57
48;97;8.21
49;7;4.72
49;39;6.96
50;60;30.90
50;69;2.49
50;43;56.30
51;73;75.17
52;6;13.69
52;35;59.23
53;33;27.48
54;58;53.55
54;56;28.78
55;75;13.43
55;93;3.76
56;47;39.78
56;80;24.60
56;16;34.06
56;54;28.78
56;83;29.92
58;92;58.30
58;2;29.02
58;54;53.55
58;1;63.62
59;96;11.66
59;29;29.80
59;19;76.57
59;97;32.91
60;50;30.90
60;18;52.05
60;37;50.63
60;92;10.70
61;68;77.11
62;43;59.96
63;64;20.32
63;95;26.19
64;63;20.32
64;85;4.24
64;39;75.33
64;40;32.45
64;65;47.71
65;64;47.71
66;42;20.37
68;31;40.48
68;61;77.11
68;70;89.36
68;9;11.29
69;50;2.49
69;94;85.14
70;34;40.20
70;68;89.36
70;15;69.68
70;90;34.85
71;39;31.35
71;23;20.78
73;97;19.06
73;51;75.17
74;8;51.56
75;55;13.43
76;12;80.43
76;20;63.94
76;41;61.69
77;43;63.87
77;1;26.28
77;80;17.92
78;43;68.84
79;16;45.81
80;40;59.86
80;47;20.50
80;56;24.60
80;41;61.60
80;35;2.58
80;77;17.92
81;95;16.76
81;4;68.02
81;21;52.14
81;23;14.67
81;2;50.05
82;14;62.50
82;11;39.17
82;12;32.93
82;91;84.14
83;95;56.31
83;56;29.92
84;27;33.85
85;64;4.24
85;98;71.68
85;25;87.34
86;43;48.27
87;45;76.85
88;12;42.98
88;43;3.91
89;12;26.80
89;2;13.72
90;20;35.47
90;70;34.85
91;11;10.22
91;82;84.14
91;95;79.22
92;58;58.30
92;60;10.70
93;15;25.35
93;8;57.79
93;55;3.76
94;47;2.57
94;69;85.14
95;5;13.80
95;81;16.76
95;83;56.31
95;63;26.19
95;91;79.22
96;30;33.28
96;59;11.66
96;4;87.33
97;18;19.09
97;48;8.21
97;73;19.06
97;59;32.91
98;85;71.68
99;9;1.61
