source;target;label
0;63;88.85
0;101;40.08
1;8;16.39
1;112;46.42
2;29;54.88
2;45;14.28
2;156;65.17
2;253;60.10
2;341;3.59
2;452;21.00
2;491;83.09
3;225;66.62
3;291;50.78
3;323;80.02
3;328;16.70
4;386;44.72
5;6;89.40
5;121;19.26
5;244;87.29
5;479;64.17
6;5;89.40
6;121;83.61
6;479;8.90
7;65;57.02
7;144;22.71
7;171;82.10
7;200;22.88
7;262;83.92
7;402;86.50
7;451;27.22
8;1;16.39
8;112;58.30
8;205;55.99
9;39;35.19
9;421;12.32
10;127;79.52
10;316;56.44
11;59;48.22
11;154;60.16
11;174;64.53
11;374;74.00
12;227;61.33
12;340;10.77
12;486;75.89
13;34;36.54
13;139;53.48
14;345;2.00
14;346;3.82
14;466;50.94
14;479;2.40
15;224;31.58
15;248;48.48
15;292;8.40
15;412;12.52
15;451;60.00
16;208;69.38
16;265;40.60
16;284;83.85
16;294;80.88
17;159;24.41
17;289;56.84
17;399;49.27
17;429;24.40
17;475;76.04
18;120;37.00
18;251;68.30
18;309;47.04
18;333;16.02
19;36;83.88
19;42;14.72
19;152;25.04
19;243;72.61
19;279;63.08
20;131;55.48
20;140;31.29
20;274;13.63
20;280;42.44
21;107;3.49
21;247;20.99
21;302;60.02
21;487;57.89
22;155;60.34
23;147;52.61
23;177;21.39
23;409;56.20
23;492;54.66
24;131;23.29
24;160;27.90
25;44;10.21
25;201;32.95
25;233;70.22
25;293;25.29
25;369;83.81
26;133;88.88
27;222;47.19
27;440;32.12
28;238;8.00
29;2;54.88
29;156;47.89
29;195;42.91
29;258;71.69
29;341;54.09
29;434;87.36
29;446;58.37
30;77;57.46
30;86;73.46
30;273;57.26
30;300;34.09
30;350;33.99
30;419;85.81
30;496;7.14
31;269;21.92
31;459;55.43
32;124;31.36
32;142;47.46
32;185;37.32
32;320;2.18
32;332;72.17
32;351;16.85
33;100;7.34
33;119;34.95
33;383;36.97
33;469;38.45
34;13;36.54
34;139;20.71
35;77;27.58
35;312;68.20
35;327;57.86
35;364;57.64
35;419;17.33
35;496;8.79
36;19;83.88
36;152;9.13
36;170;87.46
36;279;23.85
36;370;4.61
37;60;71.39
37;188;87.26
37;215;44.88
37;226;60.88
37;300;32.88
37;350;49.35
38;296;25.12
39;9;35.19
39;214;32.71
39;421;30.14
40;91;6.57
40;372;9.87
41;252;46.55
41;259;39.74
41;336;46.00
41;366;44.88
41;405;68.63
41;425;2.51
42;19;14.72
42;187;26.04
42;210;71.96
42;243;85.55
43;53;67.43
43;67;38.28
43;110;47.89
43;232;63.93
43;359;55.29
43;367;47.35
43;420;51.15
44;25;10.21
44;139;53.19
44;201;17.36
44;233;31.06
44;426;35.35
45;2;14.28
45;193;60.09
45;253;89.57
45;263;8.11
45;341;32.83
45;410;37.03
45;491;89.33
46;49;55.21
46;114;87.97
46;316;85.81
46;482;83.18
47;74;42.81
47;136;82.59
48;113;50.89
48;242;65.49
48;286;28.72
48;403;55.80
49;46;55.21
49;114;66.87
49;348;78.00
49;482;57.34
50;390;16.81
51;61;77.49
51;102;85.89
51;129;84.07
51;197;29.88
51;376;30.07
51;432;73.72
51;464;27.17
52;172;19.24
52;335;19.98
53;43;67.43
53;67;62.50
53;110;13.34
53;232;83.10
53;359;14.50
53;367;12.12
54;241;37.79
54;285;68.02
54;462;54.96
54;477;62.78
55;394;64.81
55;455;14.81
56;94;16.10
56;463;57.94
57;167;87.41
57;170;75.87
57;354;33.04
57;370;10.89
57;470;6.87
58;122;34.14
58;191;46.42
59;11;48.22
59;473;69.69
60;37;71.39
60;188;49.67
60;215;87.49
60;226;65.85
61;51;77.49
61;102;14.34
61;111;72.52
61;129;45.93
61;307;52.80
61;464;24.24
62;317;39.05
62;389;78.23
63;0;88.85
63;101;11.05
63;122;64.69
63;130;32.92
64;89;31.85
65;7;57.02
65;144;3.58
65;171;65.90
65;200;19.15
65;402;77.70
66;306;38.91
66;352;19.33
67;43;38.28
67;53;62.50
67;110;57.52
67;232;36.16
67;359;18.95
68;288;30.27
68;423;9.05
68;495;28.94
69;290;36.23
69;441;81.75
70;206;9.98
70;468;67.98
71;72;5.65
71;151;6.26
71;259;39.46
71;405;62.06
72;71;5.65
72;151;76.00
72;259;61.71
72;405;80.81
73;76;76.18
73;79;55.50
73;218;50.88
73;337;12.23
73;358;14.71
74;47;42.81
74;136;19.86
74;281;80.16
74;439;73.29
75;471;86.27
76;73;76.18
76;79;42.55
76;208;41.81
76;218;83.70
76;337;79.79
77;30;57.46
77;35;27.58
77;273;81.22
77;327;65.95
77;364;21.45
77;419;76.83
77;496;79.37
78;97;51.77
78;119;78.65
78;305;33.08
78;318;15.80
78;383;41.53
78;450;34.83
79;73;55.50
79;76;42.55
79;208;85.38
79;337;44.62
80;186;49.26
80;319;24.02
80;324;33.84
80;353;57.83
80;396;13.33
80;415;46.40
80;447;76.72
81;150;65.17
81;202;66.21
81;228;86.65
81;283;50.51
81;483;67.07
82;423;84.43
82;437;73.04
82;495;19.18
83;148;31.08
84;118;37.48
84;138;1.57
84;157;59.13
84;236;49.61
84;344;5.71
84;436;18.18
85;108;13.30
85;363;71.48
85;457;52.44
86;30;73.46
86;231;57.82
86;273;69.03
86;338;74.99
87;88;73.65
87;387;26.68
88;87;73.65
88;189;72.82
88;347;25.14
88;377;89.90
88;387;34.66
89;64;31.85
90;166;31.85
90;254;38.01
90;298;54.36
90;313;21.01
90;388;70.07
90;454;56.03
91;40;6.57
91;372;21.20
92;176;68.58
92;267;68.18
92;276;2.49
93;193;44.67
94;56;16.10
94;117;7.29
94;463;24.14
95;110;47.44
95;176;65.24
95;232;66.79
95;276;44.10
95;367;17.65
95;420;83.24
96;287;2.80
96;404;42.33
96;485;58.35
97;78;51.77
97;236;32.78
97;305;89.73
97;318;44.59
97;347;10.97
