source;target;label
0;4;84.11
0;5;84.17
1;4;84.21
1;16;87.88
2;10;82.36
2;7;84.46
3;4;82.02
4;3;82.02
4;0;84.11
4;1;84.21
5;0;84.17
5;8;86.45
6;8;75.69
7;11;69.92
7;2;84.46
7;26;85.17
8;9;72.67
8;6;75.69
8;10;85.84
8;5;86.45
9;8;72.67
10;2;82.36
10;8;85.84
11;7;69.92
12;17;77.85
12;21;86.43
13;14;72.88
13;17;80.82
13;24;84.42
13;35;86.76
13;16;86.80
14;30;68.96
14;13;72.88
15;19;88.60
15;49;89.51
16;13;86.80
16;1;87.88
17;12;77.85
17;13;80.82
18;33;79.03
18;39;82.11
18;26;86.96
19;50;78.01
19;58;86.56
19;15;88.60
20;57;77.70
21;34;72.67
21;12;86.43
21;29;87.23
22;26;88.90
23;27;86.20
23;28;86.72
23;31;88.94
24;13;84.42
25;61;69.01
25;26;76.39
26;25;76.39
26;7;85.17
26;18;86.96
26;22;88.90
27;41;79.54
27;38;85.38
27;23;86.20
28;23;86.72
29;21;87.23
29;42;88.72
30;14;68.96
31;23;88.94
32;41;82.18
32;37;85.87
33;40;74.53
33;18;79.03
34;21;72.67
35;13;86.76
36;43;89.70
37;32;85.87
38;85;84.77
38;27;85.38
39;18;82.11
39;52;87.72
40;33;74.53
41;27;79.54
41;43;81.32
41;32;82.18
41;49;85.67
42;49;82.16
42;47;82.24
42;29;88.72
43;41;81.32
43;36;89.70
44;54;76.77
45;46;68.37
45;58;82.52
46;45;68.37
47;42;82.24
47;70;86.47
47;60;87.76
48;66;73.82
48;62;78.68
49;73;69.27
49;65;74.66
49;42;82.16
49;41;85.67
49;15;89.51
50;19;78.01
50;51;78.94
51;50;78.94
52;67;80.67
52;39;87.72
53;55;85.56
54;79;74.35
54;44;76.77
54;72;77.94
55;70;84.80
55;53;85.56
56;67;78.02
57;65;72.22
57;20;77.70
58;59;79.77
58;45;82.52
58;19;86.56
59;58;79.77
59;83;83.05
60;69;78.32
60;88;80.57
60;47;87.76
61;25;69.01
62;81;72.42
62;48;78.68
63;70;81.20
64;68;78.90
65;92;70.75
65;57;72.22
65;49;74.66
66;48;73.82
67;56;78.02
67;52;80.67
68;64;78.90
68;72;84.55
69;78;74.78
69;60;78.32
69;71;87.89
70;63;81.20
70;55;84.80
70;47;86.47
70;82;88.48
71;69;87.89
72;54;77.94
72;68;84.55
72;86;89.12
73;49;69.27
74;86;89.93
75;81;84.81
76;94;84.46
76;99;89.51
77;82;63.22
78;69;74.78
79;54;74.35
80;98;34.95
80;81;64.54
81;80;64.54
81;62;72.42
81;86;77.40
81;75;84.81
82;77;63.22
82;89;81.57
82;84;85.97
82;70;88.48
83;86;80.43
83;59;83.05
84;82;85.97
84;90;86.39
85;38;84.77
85;94;86.96
86;81;77.40
86;83;80.43
86;72;89.12
86;74;89.93
87;93;62.48
87;91;79.55
88;60;80.57
89;82;81.57
90;91;74.51
90;84;86.39
91;90;74.51
91;87;79.55
92;65;70.75
93;97;61.16
93;87;62.48
94;76;84.46
94;85;86.96
95;97;65.64
96;97;75.98
97;93;61.16
97;95;65.64
97;96;75.98
98;80;34.95
99;76;89.51
