source;target;label
0;1;62.00
0;2;30.54
0;3;62.89
0;4;84.11
0;5;84.17
0;6;51.44
0;7;8.28
0;8;70.55
0;9;68.48
0;10;55.07
0;11;47.78
0;17;64.01
1;0;62.00
1;2;59.39
1;3;74.91
1;4;84.21
1;5;10.53
1;6;49.77
1;7;31.07
1;8;42.03
1;9;12.14
1;10;38.45
1;11;7.44
1;16;87.88
2;0;30.54
2;1;59.39
2;3;61.70
2;4;49.65
2;5;74.26
2;6;25.62
2;7;84.46
2;8;6.23
2;9;48.98
2;10;82.36
2;11;5.17
2;42;71.97
3;0;62.89
3;1;74.91
3;2;61.70
3;4;82.02
3;5;53.62
3;6;10.22
3;7;46.08
3;8;1.65
3;9;54.85
3;10;3.30
3;11;59.82
3;26;79.49
4;0;84.11
4;1;84.21
4;2;49.65
4;3;82.02
4;5;82.47
4;6;67.99
4;7;38.76
4;8;38.38
4;9;3.59
4;10;48.77
4;11;45.94
4;27;37.73
5;0;84.17
5;1;10.53
5;2;74.26
5;3;53.62
5;4;82.47
5;6;4.70
5;7;27.83
5;8;86.45
5;9;69.22
5;10;77.51
5;11;1.26
5;16;29.86
6;0;51.44
6;1;49.77
6;2;25.62
6;3;10.22
6;4;67.99
6;5;4.70
6;7;1.49
6;8;75.69
6;9;62.16
6;10;71.21
6;11;66.81
6;32;73.52
7;0;8.28
7;1;31.07
7;2;84.46
7;3;46.08
7;4;38.76
7;5;27.83
7;6;1.49
7;8;42.46
7;9;49.38
7;10;51.32
7;11;69.92
7;26;85.17
8;0;70.55
8;1;42.03
8;2;6.23
8;3;1.65
8;4;38.38
8;5;86.45
8;6;75.69
8;7;42.46
8;9;72.67
8;10;85.84
8;11;21.96
8;35;67.34
9;0;68.48
9;1;12.14
9;2;48.98
9;3;54.85
9;4;3.59
9;5;69.22
9;6;62.16
9;7;49.38
9;8;72.67
9;10;46.15
9;11;3.02
9;20;64.96
10;0;55.07
10;1;38.45
10;2;82.36
10;3;3.30
10;4;48.77
10;5;77.51
10;6;71.21
10;7;51.32
10;8;85.84
10;9;46.15
10;11;54.74
10;13;9.78
11;0;47.78
11;1;7.44
11;2;5.17
11;3;59.82
11;4;45.94
11;5;1.26
11;6;66.81
11;7;69.92
11;8;21.96
11;9;3.02
11;10;54.74
11;40;68.84
12;13;52.58
12;14;22.92
12;15;37.53
12;16;15.74
12;17;77.85
12;18;55.37
12;20;9.09
12;21;86.43
12;23;69.83
12;24;23.86
12;31;61.05
12;38;9.13
13;10;9.78
13;12;52.58
13;14;72.88
13;15;70.41
13;16;86.80
13;17;80.82
13;18;55.65
13;19;75.67
13;22;3.00
13;24;84.42
13;30;12.88
13;35;86.76
14;12;22.92
14;13;72.88
14;15;68.41
14;16;72.42
14;17;59.82
14;18;59.50
14;19;68.17
14;21;72.26
14;22;4.37
14;27;39.72
14;30;68.96
14;51;31.62
15;12;37.53
15;13;70.41
15;14;68.41
15;16;28.64
15;17;31.58
15;19;88.60
15;22;1.82
15;24;75.34
15;28;18.66
15;29;10.02
15;38;64.18
15;49;89.51
16;1;87.88
16;5;29.86
16;12;15.74
16;13;86.80
16;14;72.42
16;15;28.64
16;17;22.85
16;18;74.93
16;20;14.40
16;24;36.49
16;29;18.82
16;71;53.91
17;0;64.01
17;12;77.85
17;13;80.82
17;14;59.82
17;15;31.58
17;16;22.85
17;20;67.82
17;21;62.61
17;23;59.45
17;32;74.76
17;37;47.48
17;51;77.12
18;12;55.37
18;13;55.65
18;14;59.50
18;16;74.93
18;19;60.20
18;25;30.99
18;26;86.96
18;27;18.89
18;33;79.03
18;38;5.97
18;39;82.11
18;47;10.12
19;13;75.67
19;14;68.17
19;15;88.60
19;18;60.20
19;20;3.52
19;21;51.79
19;22;33.63
19;24;76.89
19;25;62.95
19;43;66.07
19;50;78.01
19;58;86.56
20;9;64.96
20;12;9.09
20;16;14.40
20;17;67.82
20;19;3.52
20;21;17.65
20;22;68.34
20;23;46.03
20;26;56.20
20;29;15.03
20;40;26.89
20;57;77.70
21;12;86.43
21;14;72.26
21;17;62.61
21;19;51.79
21;20;17.65
21;22;4.06
21;24;5.04
21;29;87.23
21;33;19.26
21;34;72.67
21;43;62.37
21;47;18.30
22;13;3.00
22;14;4.37
22;15;1.82
22;19;33.63
22;20;68.34
22;21;4.06
22;23;4.61
22;24;52.82
22;25;51.88
22;26;88.90
22;34;69.29
22;39;67.46
23;12;69.83
23;17;59.45
23;20;46.03
23;22;4.61
23;27;86.20
23;28;86.72
23;29;37.10
23;31;88.94
23;32;76.20
