source;target;label
0;6;84.07
1;6;81.51
2;4;86.63
3;7;82.71
3;4;81.30
3;5;75.89
3;10;72.34
4;2;86.63
4;3;81.30
4;14;72.44
5;3;75.89
6;0;84.07
6;1;81.51
6;9;81.33
6;7;79.10
7;8;88.08
7;13;84.77
7;3;82.71
7;6;79.10
8;7;88.08
8;11;85.66
9;6;81.33
10;3;72.34
11;8;85.66
11;23;83.36
12;27;85.67
12;23;63.31
13;7;84.77
14;16;73.75
14;4;72.44
15;25;72.28
15;18;71.99
16;20;82.48
16;25;76.32
16;14;73.75
16;22;66.97
17;22;53.04
18;15;71.99
19;28;79.77
20;16;82.48
21;24;78.29
22;16;66.97
22;17;53.04
23;11;83.36
23;12;63.31
24;21;78.29
24;25;64.33
25;16;76.32
25;15;72.28
25;24;64.33
26;28;70.59
27;28;88.31
27;12;85.67
28;27;88.31
28;19;79.77
28;26;70.59
