source;target;label
0;14;71.76
0;9;65.61
1;18;57.86
2;59;73.30
3;55;88.16
4;69;64.07
5;73;73.09
6;26;57.57
6;95;44.99
7;86;42.61
8;66;71.82
8;96;10.96
9;74;87.71
9;0;65.61
10;50;57.74
10;30;44.69
11;32;71.10
12;36;85.00
12;77;83.75
12;37;69.28
13;44;86.97
14;0;71.76
15;99;78.44
15;60;64.62
16;27;10.76
17;84;73.78
17;66;69.97
17;83;68.41
18;59;75.37
18;1;57.86
19;45;25.74
20;69;82.33
20;66;65.36
21;38;87.11
22;85;71.94
23;48;81.89
24;69;69.06
25;44;73.11
26;86;76.41
26;44;67.89
26;6;57.57
27;33;62.54
27;47;60.74
27;64;58.24
27;80;19.55
27;16;10.76
28;70;66.39
29;33;68.21
30;98;67.33
30;10;44.69
31;35;81.42
31;54;69.09
32;60;81.85
32;36;80.15
32;91;76.37
32;93;71.16
32;11;71.10
33;48;76.33
33;74;75.68
33;44;75.07
33;29;68.21
33;27;62.54
34;54;75.14
34;51;73.96
35;31;81.42
35;85;63.52
35;55;59.50
36;12;85.00
36;32;80.15
36;57;67.35
37;12;69.28
38;21;87.11
38;69;77.04
39;82;44.81
40;89;79.89
40;56;73.43
41;86;33.99
42;99;27.84
43;65;43.93
44;13;86.97
44;33;75.07
44;25;73.11
44;26;67.89
45;84;49.84
45;19;25.74
46;94;60.86
47;27;60.74
48;23;81.89
48;33;76.33
48;70;71.62
49;71;84.15
49;99;62.47
49;78;54.25
50;81;65.17
50;87;58.03
50;10;57.74
51;34;73.96
51;67;53.78
51;88;43.50
52;65;71.96
52;90;71.30
53;62;84.81
53;90;80.74
54;83;81.71
54;34;75.14
54;31;69.09
55;3;88.16
55;35;59.50
56;92;77.46
56;40;73.43
57;36;67.35
58;59;75.85
59;84;83.24
59;58;75.85
59;18;75.37
59;2;73.30
60;32;81.85
60;15;64.62
61;69;68.49
62;53;84.81
63;66;60.37
64;92;89.55
64;27;58.24
65;75;87.83
65;52;71.96
65;43;43.93
66;8;71.82
66;17;69.97
66;20;65.36
66;63;60.37
67;68;81.63
67;51;53.78
68;67;81.63
69;20;82.33
69;38;77.04
69;24;69.06
69;61;68.49
69;4;64.07
70;48;71.62
70;28;66.39
71;49;84.15
72;94;83.58
72;82;71.45
72;91;69.41
73;5;73.09
73;99;62.25
74;9;87.71
74;82;86.75
74;33;75.68
75;99;88.74
75;65;87.83
75;84;74.90
76;98;36.88
77;12;83.75
78;49;54.25
79;96;55.97
80;27;19.55
81;50;65.17
82;74;86.75
82;87;83.61
82;97;79.57
82;72;71.45
82;39;44.81
83;54;81.71
83;17;68.41
84;59;83.24
84;75;74.90
84;17;73.78
84;45;49.84
85;22;71.94
85;35;63.52
86;26;76.41
86;7;42.61
86;41;33.99
87;82;83.61
87;50;58.03
88;51;43.50
89;40;79.89
90;53;80.74
90;52;71.30
91;32;76.37
91;72;69.41
92;64;89.55
92;56;77.46
93;32;71.16
94;72;83.58
94;46;60.86
95;6;44.99
96;79;55.97
96;8;10.96
97;82;79.57
98;30;67.33
98;76;36.88
99;75;88.74
99;15;78.44
99;49;62.47
99;73;62.25
99;42;27.84
