source;target;label
0;3;62.89
0;23;25.12
1;24;52.09
1;28;82.16
1;14;82.03
1;2;8.95
1;11;37.99
2;26;82.64
2;12;83.18
2;22;10.30
2;9;87.38
2;1;8.95
3;0;62.89
3;9;48.72
3;5;61.01
4;11;35.72
4;22;31.77
4;18;86.39
4;25;27.57
5;19;6.31
5;25;75.99
5;23;63.70
5;3;61.01
5;26;48.89
6;24;49.02
6;7;64.91
6;11;9.65
7;28;79.53
7;6;64.91
7;14;18.24
8;25;36.87
8;14;4.24
8;21;59.19
9;3;48.72
9;2;87.38
11;17;71.61
11;4;35.72
11;21;5.00
11;6;9.65
11;1;37.99
11;14;30.74
12;2;83.18
12;16;79.65
12;24;50.58
13;27;58.05
13;21;49.44
13;29;21.10
14;15;67.02
14;8;4.24
14;1;82.03
14;11;30.74
14;7;18.24
15;14;67.02
15;21;62.52
15;18;30.98
16;24;32.12
16;12;79.65
17;11;71.61
17;21;6.13
18;4;86.39
18;15;30.98
18;28;24.41
19;5;6.31
19;25;15.47
19;23;20.46
20;28;45.41
21;26;53.57
21;13;49.44
21;15;62.52
21;8;59.19
21;11;5.00
21;17;6.13
22;4;31.77
22;2;10.30
22;25;15.20
23;28;37.96
23;5;63.70
23;24;48.92
23;25;76.51
23;0;25.12
23;19;20.46
24;1;52.09
24;28;89.75
24;23;48.92
24;16;32.12
24;29;19.09
24;6;49.02
24;12;50.58
25;8;36.87
25;5;75.99
25;28;2.12
25;23;76.51
25;19;15.47
25;4;27.57
25;22;15.20
26;21;53.57
26;2;82.64
26;5;48.89
27;13;58.05
28;7;79.53
28;20;45.41
28;23;37.96
28;24;89.75
28;25;2.12
28;1;82.16
28;18;24.41
29;24;19.09
29;13;21.10
