source;target;label
1;372;32.54
1;117;19.71
2;430;74.48
2;201;56.04
3;329;75.71
3;140;38.23
5;83;53.12
6;457;84.29
7;241;37.81
8;206;68.80
8;35;87.85
8;388;77.44
8;484;49.47
9;447;49.19
9;275;54.29
9;343;35.76
10;182;32.53
11;274;54.22
12;460;40.01
13;294;77.86
14;493;52.52
15;196;77.23
16;40;46.82
16;383;18.08
17;263;14.35
18;240;52.33
19;299;62.68
19;422;32.61
20;47;41.63
21;458;64.10
21;379;78.55
21;405;71.57
22;186;74.55
23;413;69.47
23;67;89.79
23;416;76.60
24;350;85.14
25;324;52.72
25;350;61.77
25;256;39.22
26;408;86.90
27;255;4.31
28;352;71.53
29;48;72.73
30;462;76.13
30;242;25.54
31;159;71.40
31;407;42.24
32;452;57.33
32;134;80.27
32;191;69.31
32;149;55.73
33;290;73.77
33;139;60.67
34;344;60.65
35;8;87.85
36;460;30.26
37;96;17.82
38;297;21.18
38;328;3.57
39;202;77.58
39;442;81.09
39;493;75.93
39;189;74.18
40;442;75.99
40;497;61.79
40;16;46.82
42;83;87.57
42;367;68.40
43;220;82.52
43;490;56.55
44;308;67.65
44;124;88.49
44;238;25.49
46;252;48.27
46;76;82.92
46;486;67.94
47;200;68.10
47;190;51.59
47;20;41.63
48;107;68.46
48;29;72.73
48;337;6.33
49;262;66.56
49;228;83.66
50;107;79.18
51;266;84.20
52;489;78.99
52;433;11.06
53;371;52.75
53;206;84.15
53;221;60.91
54;191;76.22
55;189;52.10
55;209;4.74
56;348;78.59
57;456;58.08
58;410;4.32
59;442;69.22
59;276;83.38
59;335;76.08
59;137;47.96
60;470;52.56
60;318;86.85
60;332;27.74
61;174;88.72
61;378;80.01
62;252;48.77
62;178;82.69
63;122;41.32
64;133;62.97
64;290;67.74
65;106;20.38
66;421;58.82
66;70;71.76
67;23;89.79
68;415;47.29
69;191;80.28
69;102;79.53
69;226;39.08
70;66;71.76
72;192;72.15
72;412;88.81
73;237;60.76
73;107;74.69
74;356;24.84
74;298;54.13
74;203;43.45
75;191;65.29
76;46;82.92
76;222;46.05
77;184;65.98
77;358;39.24
78;240;57.33
79;380;74.98
79;460;65.55
79;224;64.67
80;487;78.90
80;357;74.07
80;159;71.28
80;194;68.89
81;410;80.94
81;498;84.32
82;173;59.89
82;249;85.27
82;257;84.81
83;395;59.43
83;42;87.57
83;5;53.12
84;207;22.02
85;157;64.84
85;138;85.28
85;136;81.04
86;218;51.51
86;465;46.95
87;182;11.41
88;216;81.32
89;455;89.36
89;111;86.93
89;176;69.86
89;103;57.19
90;103;89.90
91;306;68.06
91;175;36.66
91;110;3.51
92;215;1.99
93;442;82.74
93;413;87.39
93;152;65.85
94;386;42.24
96;190;85.27
96;406;67.10
96;37;17.82
97;241;78.32
98;331;80.12
99;400;68.63
100;166;88.89
101;362;74.41
102;69;79.53
102;284;89.24
103;89;57.19
103;90;89.90
105;239;64.57
105;495;13.10
106;430;62.13
106;455;56.56
106;65;20.38
107;73;74.69
107;50;79.18
107;48;68.46
107;327;44.94
108;285;76.97
109;335;86.87
109;303;86.20
109;229;79.28
110;91;3.51
111;89;86.93
113;169;77.17
114;389;47.26
114;309;25.08
115;224;10.28
116;373;37.40
116;171;37.38
116;377;32.45
117;1;19.71
118;281;75.16
118;461;33.89
119;154;36.62
120;373;61.53
122;262;50.48
122;63;41.32
123;239;64.18
123;235;76.14
123;145;52.73
124;44;88.49
125;450;51.13
126;341;88.11
127;417;31.17
127;199;80.53
127;268;41.38
129;154;73.50
130;168;40.27
131;324;46.29
132;224;71.04
132;158;50.64
132;368;50.55
133;217;58.22
133;64;62.97
134;32;80.27
135;481;63.22
135;499;74.53
135;470;56.75
136;85;81.04
136;344;43.13
137;59;47.96
137;181;48.26
138;85;85.28
138;447;62.51
138;408;51.92
139;33;60.67
140;3;38.23
141;388;62.69
142;381;89.98
142;319;76.66
143;372;88.94
144;311;79.85
145;123;52.73
145;427;60.58
146;346;16.65
147;341;17.08
148;460;72.92
148;387;36.33
149;32;55.73
149;462;88.35
149;453;59.60
150;365;56.56
151;368;43.88
152;93;65.85
152;170;82.83
153;214;49.19
153;259;44.28
154;447;45.86
154;129;73.50
154;119;36.62
155;266;79.55
156;244;54.03
156;351;2.66
157;439;62.30
157;424;80.79
157;85;64.84
158;132;50.64
159;80;71.28
159;204;84.43
159;411;82.98
159;31;71.40
160;254;76.05
160;283;32.40
161;362;83.81
162;301;24.23
162;295;35.79
163;382;86.22
164;436;40.86
165;447;59.00
165;172;11.22
166;370;86.62
166;100;88.89
166;217;78.00
166;307;74.10
166;312;57.38
167;434;66.83
168;288;79.10
168;380;80.99
168;262;60.19
168;130;40.27
169;240;74.78
169;113;77.17
