source;target;label
0;34;89.42
0;43;88.08
1;29;76.38
1;6;73.84
2;98;64.90
3;79;67.83
3;91;68.16
4;31;86.01
4;50;80.81
4;53;66.62
5;89;79.81
5;8;74.53
6;1;73.84
7;12;78.91
7;15;81.21
7;98;72.53
8;5;74.53
8;63;84.21
9;19;88.11
9;38;89.59
9;48;86.63
10;36;81.77
10;62;79.34
10;26;73.29
11;77;79.21
12;37;81.46
12;7;78.91
13;39;81.27
13;85;89.53
13;45;88.03
14;17;88.85
14;70;88.12
14;68;83.90
15;7;81.21
15;21;55.48
16;62;77.32
16;72;89.44
17;43;83.89
17;14;88.85
17;27;82.23
17;20;81.73
18;20;87.78
19;34;81.96
19;9;88.11
19;24;82.72
19;56;81.29
20;17;81.73
20;77;89.20
20;18;87.78
20;58;86.29
20;92;76.38
21;15;55.48
21;71;78.72
22;93;84.32
23;77;80.31
24;19;82.72
24;89;86.76
25;85;85.49
25;99;77.39
26;10;73.29
27;17;82.23
28;61;63.11
29;74;86.78
29;1;76.38
30;98;81.34
30;60;84.08
31;38;80.71
31;4;86.01
32;53;72.40
33;90;67.31
34;0;89.42
34;19;81.96
34;49;71.61
35;65;71.48
36;79;86.46
36;10;81.77
37;85;77.47
37;12;81.46
38;9;89.59
38;66;89.41
38;31;80.71
39;79;87.61
39;47;85.21
39;13;81.27
40;46;85.47
40;73;86.35
41;45;72.72
42;64;75.16
43;0;88.08
43;17;83.89
44;78;78.33
44;90;75.46
45;13;88.03
45;65;89.44
45;41;72.72
45;61;70.26
45;51;46.41
46;70;77.56
46;40;85.47
46;67;45.99
47;39;85.21
47;84;76.95
48;9;86.63
49;34;71.61
49;87;87.62
50;4;80.81
51;45;46.41
52;86;84.14
52;78;56.51
53;4;66.62
53;32;72.40
54;64;71.43
54;80;74.21
55;79;80.98
56;19;81.29
57;87;80.15
57;74;79.97
57;95;72.88
58;20;86.29
59;72;82.39
60;30;84.08
61;45;70.26
61;28;63.11
62;10;79.34
62;16;77.32
63;8;84.21
63;81;82.96
63;83;79.02
64;74;73.59
64;42;75.16
64;54;71.43
65;45;89.44
65;35;71.48
66;38;89.41
66;88;89.93
67;46;45.99
68;14;83.90
69;77;79.40
70;14;88.12
70;46;77.56
71;21;78.72
72;16;89.44
72;59;82.39
73;40;86.35
73;76;76.10
73;97;70.02
73;86;57.74
74;57;79.97
74;29;86.78
74;64;73.59
75;77;81.43
76;73;76.10
77;20;89.20
77;75;81.43
77;23;80.31
77;69;79.40
77;11;79.21
78;52;56.51
78;44;78.33
79;80;82.63
79;39;87.61
79;36;86.46
79;55;80.98
79;3;67.83
80;54;74.21
80;79;82.63
81;63;82.96
82;84;75.02
83;63;79.02
84;47;76.95
84;82;75.02
85;13;89.53
85;25;85.49
85;37;77.47
86;73;57.74
86;52;84.14
87;49;87.62
87;57;80.15
88;66;89.93
88;93;78.63
89;24;86.76
89;5;79.81
90;44;75.46
90;33;67.31
91;3;68.16
92;20;76.38
92;96;80.98
93;88;78.63
93;22;84.32
94;96;86.32
95;57;72.88
96;92;80.98
96;94;86.32
97;73;70.02
98;7;72.53
98;30;81.34
98;2;64.90
99;25;77.39
