source;target;label
0;8;54.62
1;6;66.17
2;22;71.42
3;28;56.46
4;22;76.34
6;12;78.41
6;1;66.17
7;19;63.88
8;24;64.15
8;0;54.62
8;26;20.18
9;29;67.61
9;13;63.00
9;15;31.06
10;17;35.31
11;29;71.02
11;26;65.40
12;6;78.41
13;9;63.00
14;19;68.39
14;25;67.75
15;9;31.06
16;21;75.11
16;27;70.11
17;19;58.26
17;10;35.31
18;29;69.48
19;14;68.39
19;7;63.88
19;28;62.14
19;17;58.26
20;27;53.99
21;16;75.11
22;4;76.34
22;2;71.42
22;24;70.84
23;25;87.13
24;22;70.84
24;8;64.15
25;23;87.13
25;14;67.75
26;11;65.40
26;8;20.18
27;16;70.11
27;20;53.99
28;19;62.14
28;3;56.46
29;11;71.02
29;18;69.48
29;9;67.61
