source;target;label
0;206;79.46
0;35;89.73
0;170;89.75
1;418;76.89
2;401;76.86
2;107;86.61
2;360;87.74
3;312;78.99
3;152;86.06
4;264;61.22
4;386;79.75
5;304;80.51
6;93;85.79
6;112;85.99
6;480;89.24
7;425;88.50
8;145;84.60
9;190;85.42
9;86;85.42
10;106;58.89
11;271;73.34
11;298;77.07
11;308;84.14
12;91;76.73
13;246;79.85
13;489;84.58
13;225;86.30
13;420;88.47
13;444;89.00
14;152;76.77
14;315;81.70
15;200;88.94
15;293;89.62
16;449;84.98
16;162;85.06
17;91;86.25
18;310;87.01
19;396;81.54
19;136;83.65
19;347;86.75
19;333;87.42
20;36;86.56
20;143;87.32
21;63;84.28
21;31;84.48
21;248;84.70
22;82;75.65
22;268;78.30
23;102;80.74
23;117;82.08
24;90;78.49
24;287;78.52
25;133;77.77
26;283;83.14
26;438;83.80
26;269;83.98
26;109;85.18
27;348;87.96
28;231;77.36
29;125;78.53
29;331;81.89
30;76;69.22
30;297;84.11
30;447;85.67
30;139;85.87
31;42;84.42
31;21;84.48
31;236;87.06
31;298;87.62
32;63;77.28
32;455;81.17
32;470;88.75
33;398;77.24
33;206;85.35
34;41;80.39
34;488;85.95
34;357;88.75
35;37;82.45
35;51;87.04
35;338;89.27
35;0;89.73
36;117;82.98
36;66;85.80
36;20;86.56
37;35;82.45
38;361;80.64
38;73;86.59
39;329;81.10
39;339;82.03
39;320;84.44
40;362;75.44
41;34;80.39
42;31;84.42
43;283;82.55
43;272;83.31
44;481;66.90
45;305;85.71
46;382;74.82
46;465;86.34
46;414;88.67
47;120;76.12
47;80;81.06
47;305;81.94
48;291;86.99
48;210;87.62
49;222;65.53
49;229;85.71
49;220;86.66
49;415;88.19
49;208;89.62
50;494;78.40
50;284;82.22
50;212;88.45
51;351;71.80
51;128;85.53
51;35;87.04
52;364;77.42
53;425;81.86
53;177;82.50
53;299;85.80
54;323;82.93
54;234;88.99
55;368;86.15
56;200;86.56
57;370;80.85
58;489;75.29
59;124;56.76
59;81;89.64
60;185;84.84
60;302;85.23
61;141;65.11
62;358;78.68
63;32;77.28
63;265;83.63
63;21;84.28
64;332;83.01
64;320;89.27
65;376;87.88
66;36;85.80
67;226;69.08
67;84;86.52
68;416;75.16
69;283;88.61
70;138;73.45
70;111;84.00
71;204;86.79
71;384;89.27
72;388;72.79
72;389;84.10
73;499;83.83
73;38;86.59
74;390;82.27
74;303;82.58
75;163;84.33
75;489;88.67
76;30;69.22
77;282;72.27
78;310;61.17
79;385;71.71
79;355;85.68
79;228;88.29
80;47;81.06
80;171;83.43
81;426;71.69
81;134;77.78
81;59;89.64
82;22;75.65
83;290;48.85
84;159;69.13
84;67;86.52
85;197;72.98
85;327;84.68
86;281;82.52
86;9;85.42
86;165;87.16
86;450;88.40
87;253;84.08
87;334;84.24
87;399;85.09
88;419;84.67
88;143;89.34
89;298;85.85
90;135;72.64
90;356;77.42
90;24;78.49
91;12;76.73
91;364;86.00
91;17;86.25
91;497;89.64
92;412;78.26
92;183;81.99
92;349;82.17
93;6;85.79
93;121;88.82
94;320;80.42
94;161;82.09
94;289;82.13
95;499;82.13
95;496;88.42
96;466;82.91
96;392;84.66
96;391;85.25
97;455;88.86
98;370;80.09
98;119;87.47
98;137;88.32
99;460;88.01
100;133;72.32
101;298;87.49
102;23;80.74
103;446;79.46
103;492;79.62
103;255;84.29
104;233;75.50
105;416;82.09
105;141;82.81
105;269;84.49
105;155;89.17
106;10;58.89
106;430;86.18
106;373;87.33
107;343;81.75
107;2;86.61
107;294;87.78
108;453;83.70
108;280;85.22
109;131;78.42
109;242;83.27
109;26;85.18
109;335;86.19
110;245;79.31
110;199;83.54
110;198;85.77
111;70;84.00
111;475;86.10
112;347;85.09
112;6;85.99
112;221;89.13
113;277;80.94
114;355;89.51
115;260;84.63
115;375;88.82
116;273;88.83
117;423;74.62
117;23;82.08
117;36;82.98
118;332;78.02
118;244;80.50
119;98;87.47
119;313;89.31
120;47;76.12
120;219;77.08
120;499;79.20
121;93;88.82
122;412;78.90
122;280;83.74
123;378;80.70
123;309;82.01
123;209;87.19
123;451;87.79
124;59;56.76
125;29;78.53
126;469;82.23
127;403;89.76
128;51;85.53
129;474;84.08
130;240;87.37
131;109;78.42
131;278;81.93
132;323;84.99
133;100;72.32
133;25;77.77
133;434;87.61
133;418;88.76
134;354;66.37
134;81;77.78
135;90;72.64
135;455;76.97
135;173;83.39
135;218;85.89
135;331;87.13
136;19;83.65
137;160;64.70
137;397;84.07
137;153;88.31
137;98;88.32
138;70;73.45
139;30;85.87
139;353;85.91
139;231;86.73
139;379;89.73
140;457;74.68
141;61;65.11
141;105;82.81
142;213;86.50
143;448;78.28
143;20;87.32
143;88;89.34
144;495;62.85
145;488;82.24
145;8;84.60
146;443;82.24
146;338;84.21
147;322;79.60
147;450;89.89
148;355;64.85
149;306;75.85
149;211;79.99
150;238;85.20
150;263;85.51
150;153;89.21
151;291;80.70
151;484;88.33
152;14;76.77
152;3;86.06
153;191;82.85
153;411;85.16
153;137;88.31
153;150;89.21
154;454;87.59
154;253;89.07
155;275;84.14
155;317;87.88
155;105;89.17
156;241;73.78
156;166;82.28
157;449;83.81
