source;target;label
0;67;89.80
0;73;89.76
0;17;89.31
0;14;88.84
0;74;85.37
1;12;89.67
1;91;88.67
1;3;88.58
2;83;86.80
3;85;89.92
3;1;88.58
4;96;89.76
4;77;88.93
4;57;88.23
5;47;89.79
5;59;88.11
5;6;87.12
6;80;88.03
6;43;87.19
6;5;87.12
7;85;89.35
7;47;89.06
8;31;89.53
9;53;87.00
9;26;86.36
10;32;85.14
11;73;87.58
12;1;89.67
13;91;89.71
13;93;88.49
13;20;87.34
14;46;89.56
14;81;89.16
14;83;89.13
14;29;88.84
14;0;88.84
15;19;87.67
16;54;87.69
17;0;89.31
17;56;87.29
18;47;87.26
18;60;85.25
19;98;89.31
19;52;88.28
19;15;87.67
20;92;89.37
20;13;87.34
21;44;80.78
22;49;86.41
23;73;88.66
24;88;89.61
24;50;89.60
24;32;88.77
25;33;86.61
26;9;86.36
26;51;84.39
27;63;86.14
28;96;89.34
28;81;87.56
29;14;88.84
30;96;88.85
31;84;89.98
31;8;89.53
32;84;89.91
32;24;88.77
32;10;85.14
33;45;88.09
33;39;86.69
33;25;86.61
34;88;88.37
34;35;86.24
35;34;86.24
36;78;89.52
36;86;89.16
37;44;85.41
38;67;87.31
39;53;88.19
39;33;86.69
40;58;89.47
41;52;89.68
41;48;88.24
42;53;89.25
42;91;89.21
42;63;88.64
42;48;88.10
43;6;87.19
43;76;85.78
44;57;86.45
44;37;85.41
44;75;84.99
44;21;80.78
45;33;88.09
46;14;89.56
47;5;89.79
47;7;89.06
47;18;87.26
48;41;88.24
48;42;88.10
49;22;86.41
49;71;84.86
50;24;89.60
51;26;84.39
52;41;89.68
52;68;89.16
52;19;88.28
53;54;89.84
53;42;89.25
53;39;88.19
53;9;87.00
54;53;89.84
54;82;88.81
54;16;87.69
55;90;85.72
55;83;85.25
56;17;87.29
57;4;88.23
57;44;86.45
58;40;89.47
58;68;85.38
59;5;88.11
60;18;85.25
61;98;89.49
61;99;88.65
62;75;89.84
63;42;88.64
63;86;86.75
63;27;86.14
63;70;85.82
64;86;88.35
65;93;87.73
66;71;89.82
67;0;89.80
67;99;89.25
67;88;89.14
67;38;87.31
68;52;89.16
68;58;85.38
69;98;89.57
70;89;86.49
70;63;85.82
71;66;89.82
71;82;89.63
71;49;84.86
72;73;84.71
73;0;89.76
73;23;88.66
73;11;87.58
73;72;84.71
74;0;85.37
75;62;89.84
75;44;84.99
76;43;85.78
77;4;88.93
78;36;89.52
79;91;83.90
80;6;88.03
81;14;89.16
81;28;87.56
81;97;86.21
82;71;89.63
82;54;88.81
83;14;89.13
83;2;86.80
83;55;85.25
84;31;89.98
84;32;89.91
84;87;88.07
84;94;87.97
85;3;89.92
85;7;89.35
86;36;89.16
86;64;88.35
86;63;86.75
87;84;88.07
88;24;89.61
88;67;89.14
88;34;88.37
89;70;86.49
90;55;85.72
91;13;89.71
91;42;89.21
91;1;88.67
91;79;83.90
92;20;89.37
93;13;88.49
93;65;87.73
94;84;87.97
95;98;86.03
96;4;89.76
96;28;89.34
96;30;88.85
97;81;86.21
98;69;89.57
98;61;89.49
98;19;89.31
98;95;86.03
99;67;89.25
99;61;88.65
