source;target;label
0;74;85.37
0;14;88.84
0;17;89.31
0;73;89.76
0;67;89.80
1;3;88.58
1;91;88.67
1;12;89.67
2;83;86.80
3;1;88.58
3;85;89.92
4;57;88.23
4;77;88.93
4;96;89.76
5;6;87.12
5;59;88.11
5;47;89.79
6;5;87.12
6;43;87.19
6;80;88.03
7;47;89.06
7;85;89.35
8;31;89.53
9;26;86.36
9;53;87.00
10;32;85.14
11;73;87.58
12;1;89.67
13;20;87.34
13;93;88.49
13;91;89.71
14;0;88.84
14;29;88.84
14;83;89.13
14;81;89.16
14;46;89.56
15;19;87.67
16;54;87.69
17;56;87.29
17;0;89.31
18;60;85.25
18;47;87.26
19;15;87.67
19;52;88.28
19;98;89.31
20;13;87.34
20;92;89.37
21;44;80.78
22;49;86.41
23;73;88.66
24;32;88.77
24;50;89.60
24;88;89.61
25;33;86.61
26;51;84.39
26;9;86.36
27;63;86.14
28;81;87.56
28;96;89.34
29;14;88.84
30;96;88.85
31;8;89.53
31;84;89.98
32;10;85.14
32;24;88.77
32;84;89.91
33;25;86.61
33;39;86.69
33;45;88.09
34;35;86.24
34;88;88.37
35;34;86.24
36;86;89.16
36;78;89.52
37;44;85.41
38;67;87.31
39;33;86.69
39;53;88.19
40;58;89.47
41;48;88.24
41;52;89.68
42;48;88.10
42;63;88.64
42;91;89.21
42;53;89.25
43;76;85.78
43;6;87.19
44;21;80.78
44;75;84.99
44;37;85.41
44;57;86.45
45;33;88.09
46;14;89.56
47;18;87.26
47;7;89.06
47;5;89.79
48;42;88.10
48;41;88.24
49;71;84.86
49;22;86.41
50;24;89.60
51;26;84.39
52;19;88.28
52;68;89.16
52;41;89.68
53;9;87.00
53;39;88.19
53;42;89.25
53;54;89.84
54;16;87.69
54;82;88.81
54;53;89.84
55;83;85.25
55;90;85.72
56;17;87.29
57;44;86.45
57;4;88.23
58;68;85.38
58;40;89.47
59;5;88.11
60;18;85.25
61;99;88.65
61;98;89.49
62;75;89.84
63;70;85.82
63;27;86.14
63;86;86.75
63;42;88.64
64;86;88.35
65;93;87.73
66;71;89.82
67;38;87.31
67;88;89.14
67;99;89.25
67;0;89.80
68;58;85.38
68;52;89.16
69;98;89.57
70;63;85.82
70;89;86.49
71;49;84.86
71;82;89.63
71;66;89.82
72;73;84.71
73;72;84.71
73;11;87.58
73;23;88.66
73;0;89.76
74;0;85.37
75;44;84.99
75;62;89.84
76;43;85.78
77;4;88.93
78;36;89.52
79;91;83.90
80;6;88.03
81;97;86.21
81;28;87.56
81;14;89.16
82;54;88.81
82;71;89.63
83;55;85.25
83;2;86.80
83;14;89.13
84;94;87.97
84;87;88.07
84;32;89.91
84;31;89.98
85;7;89.35
85;3;89.92
86;63;86.75
86;64;88.35
86;36;89.16
87;84;88.07
88;34;88.37
88;67;89.14
88;24;89.61
89;70;86.49
90;55;85.72
91;79;83.90
91;1;88.67
91;42;89.21
91;13;89.71
92;20;89.37
93;65;87.73
93;13;88.49
94;84;87.97
95;98;86.03
96;30;88.85
96;28;89.34
96;4;89.76
97;81;86.21
98;95;86.03
98;19;89.31
98;61;89.49
98;69;89.57
99;61;88.65
99;67;89.25
