0;1
1;0;2
2;1;3
3;2;4
4;3;5
5;4;6
6;5;7
7;6;8
8;7;9
9;8;10
10;9;11
11;10;12
12;11;13
13;12;14
14;13;27
15;27;16
16;15;17
17;16;18
18;17;19
19;18;22
20;22;21
21;20;24
22;19;20
23;24;25
24;21;23
25;23;28
26;29;30
27;14;15
28;25;29
29;28;26
30;26;32
31;32;33
32;30;31
33;31;37
34;37;35
35;34;43
36;50;40
37;33;34
38;39;50
39;43;38
40;36;41
41;40;42
42;41;45
43;35;39
44;49;46
45;42;47
46;44;51
47;45;48
48;47;49
49;48;44
50;38;36
51;46;52
52;51;55
53;55;57
54;57;56
55;52;53
56;54;58
57;53;54
58;56;66
59;60;62
60;66;59
61;62;63
62;59;61
63;61;70
64;69;65
65;64;67
66;58;60
67;65;71
68;71;76
69;70;64
70;63;69
71;67;68
72;76;73
73;72;74
74;73;75
75;74;80
76;68;72
77;79;81
78;80;79
79;78;77
80;75;78
81;77;85
82;85;83
83;82;84
84;83;87
85;81;82
86;95
87;84;88
88;87;89
89;88;90
90;89;91
91;90;92
92;91;93
93;92;94
94;93;95
95;94;86;98
96;98;97
97;96;99
98;95;96
99;97
